experiment,seed,stored_records_control,stored_records_treatment,graph_edges,queries,control_retrieval_accuracy,treatment_retrieval_accuracy,accuracy_delta,compression_ratio,control_utility,treatment_utility,control_lowhazard_risky_rate,treatment_lowhazard_risky_rate,control_missed,treatment_missed,treatment_forgotten,peak_pending,mean_best_latent_diagnosticity,control_best_estimated_reward,treatment_best_estimated_reward,control_states_visited,treatment_states_visited,true_elite_count,control_accuracy,treatment_accuracy,reversal_accuracy_with_stale_intuition,intuition_use_rate,source_compatibility_score,incompatible_source_score,gated_incompatible_accuracy,incompatible_source_used,agents,malicious_or_low_reliability_agents,control_safe_false_reject,treatment_safe_false_reject,control_execution_rate,treatment_execution_rate,mean_weighted_correction_step,tasks,replay_extra_examples_per_task,dream_extra_examples_per_task,dream_validator_error_rate,rejection_rate,control_unsafe_imitation_rate,treatment_unsafe_imitation_rate,control_goal_completion_rate,treatment_goal_completion_rate,control_suboptimal_resolution_rate,treatment_suboptimal_resolution_rate,false_survival_bypass_rate_non_threat,override_activation_rate
tadm_sparse,30011,214.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tadm_sparse,30064,214.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tadm_sparse,30117,214.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tadm_sparse,30170,214.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tadm_sparse,30223,214.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tadm_sparse,30276,214.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tadm_sparse,30329,214.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tadm_sparse,30382,214.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tadm_sparse,30435,214.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tadm_sparse,30488,214.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
