experiment,seed,control,treatment,difference_treatment_minus_control,primary_metric,direction
tadm_sparse,91001,0.7666666666666667,0.8222222222222222,0.05555555555555547,retrieval_accuracy,greater
tadm_sparse,91039,0.7333333333333333,0.7888888888888889,0.05555555555555558,retrieval_accuracy,greater
emg_multihop,91001,0.7272727272727273,1.0,0.2727272727272727,multihop_accuracy,greater
emg_multihop,91039,0.5818181818181818,1.0,0.4181818181818182,multihop_accuracy,greater
dream_consolidation,91001,995.0,121.0,-874.0,retained_records,less
dream_consolidation,91039,1026.0,121.0,-905.0,retained_records,less
pad_risk,91001,0.043333333333333335,0.021111111111111112,-0.022222222222222223,unsafe_action_rate,less
pad_risk,91039,0.03777777777777778,0.0077777777777777776,-0.03,unsafe_action_rate,less
tam_postpone,91001,-3.794973020425974,1.559498828709753,5.354471849135727,deadline_utility,greater
tam_postpone,91039,1.1839326376201993,2.2302103508365887,1.0462777132163894,deadline_utility,greater
auto_cue,91001,0.5016666666666667,0.7466666666666667,0.245,cue_success,greater
auto_cue,91039,0.5083333333333333,0.7816666666666666,0.2733333333333333,cue_success,greater
curiosity,91001,2.0,4.0,2.0,useful_discoveries,greater
curiosity,91039,0.0,3.0,3.0,useful_discoveries,greater
intuition,91001,1.0,0.47601999999999994,-0.5239800000000001,decision_cost,less
intuition,91039,1.0,0.5432599999999999,-0.45674000000000015,decision_cost,less
bootstrapping,91001,0.7085714285714285,0.8628571428571429,0.15428571428571436,fewshot_accuracy,greater
bootstrapping,91039,0.6742857142857143,0.8142857142857143,0.14,fewshot_accuracy,greater
shared_gltm,91001,0.5533333333333333,0.7933333333333333,0.24,novice_accuracy,greater
shared_gltm,91039,0.54,0.8133333333333334,0.2733333333333333,novice_accuracy,greater
validator_reflection,91001,0.015833333333333335,0.0013333333333333333,-0.0145,unsafe_execution_rate,less
validator_reflection,91039,0.017166666666666667,0.0011666666666666668,-0.016,unsafe_execution_rate,less
truth_conflict,91001,0.8722222222222222,0.9388888888888889,0.06666666666666665,final_fact_accuracy,greater
truth_conflict,91039,0.8555555555555555,0.9611111111111111,0.10555555555555562,final_fact_accuracy,greater
dream_rehearsal,91001,0.4354166666666667,0.9104166666666667,0.475,composition_accuracy,greater
dream_rehearsal,91039,0.010416666666666666,0.7541666666666667,0.74375,composition_accuracy,greater
gigo_filter,91001,0.9714285714285714,1.0,0.02857142857142858,belief_accuracy,greater
gigo_filter,91039,0.9785714285714285,1.0,0.021428571428571463,belief_accuracy,greater
mimic_safety,91001,0.28888888888888886,0.8666666666666667,0.5777777777777778,fewshot_reward,greater
mimic_safety,91039,0.3111111111111111,0.9555555555555556,0.6444444444444445,fewshot_reward,greater
recall_precedence,91001,0.49945846875426697,0.7240209602890215,0.22456249153475455,first_recall_utility,greater
recall_precedence,91039,0.4953795426013578,0.7277715460854516,0.23239200348409378,first_recall_utility,greater
empathy_proxy,91001,0.6328571428571429,1.0232857142857141,0.39042857142857124,coordination_reward,greater
empathy_proxy,91039,0.6585714285714286,1.0332857142857144,0.3747142857142858,coordination_reward,greater
bias_mitigation,91001,0.29666666666666663,0.06000000000000005,-0.23666666666666658,bias_error,less
bias_mitigation,91039,0.30333333333333334,0.04500000000000004,-0.2583333333333333,bias_error,less
character_consistency,91001,0.7285714285714285,0.92,0.1914285714285715,profile_consistency,greater
character_consistency,91039,0.7571428571428571,0.8971428571428571,0.14,profile_consistency,greater
purpose_planning,91001,3.7632595440675645,3.991992291433756,0.22873274736619154,goal_completion_utility,greater
purpose_planning,91039,3.7497740593814775,4.006480990714122,0.25670693133264466,goal_completion_utility,greater
negotiation,91001,0.4144939890311573,0.6642515813663156,0.24975759233515826,joint_utility,greater
negotiation,91039,0.4560481321062956,0.7026866701981676,0.24663853809187197,joint_utility,greater
survival_override,91001,0.1857451403887689,0.896328293736501,0.7105831533477321,critical_threat_survival,greater
survival_override,91039,0.1864406779661017,0.9173728813559322,0.7309322033898304,critical_threat_survival,greater
